DNR Peat Inventory ID #,P_Sampnum,P_Top Depth (cm),P_Bottom Depth (cm),P_Btu/lb,P_Moisture Content (%),P_Ash Content (%),P_Volatiles (%),P_Fixed Carbon (%),P_Uniq_id,P_Depthnum
AITK-2204336-506,3343,35,50.0,8528.0,85.3,15.0,56.9,28.1,1,1
AITK-2204336-506,3344,85,100.0,8417.0,88.9,12.3,60.5,27.2,2,2
AITK-2204336-506,3345,135,150.0,9087.0,89.1,10.1,62.4,27.5,3,3
AITK-2204336-506,3346,185,200.0,7341.0,86.0,26.6,51.3,22.1,4,4
AITK-2204336-506,3347,235,250.0,6217.0,83.9,37.8,44.8,17.4,5,5
AITK-2204524-470,3269,35,50.0,8885.0,85.3,11.4,61.4,27.2,6,1
AITK-2204524-470,3270,85,100.0,8767.0,87.6,12.0,59.8,28.2,7,2
AITK-2204524-470,3271,135,150.0,9363.0,89.7,6.9,64.0,29.1,8,3
AITK-2204524-470,3272,185,200.0,8461.0,88.0,14.4,58.6,27.0,9,4
AITK-2204524-470,3273,215,230.0,5383.0,83.1,46.8,38.4,14.8,10,5
AITK-2204727-520,3320,35,50.0,7930.0,80.4,20.8,51.9,27.3,11,1
AITK-2204727-520,3321,85,100.0,8223.0,84.5,12.5,59.0,28.5,12,2
AITK-2204727-520,3322,135,150.0,7188.0,82.0,27.9,49.8,22.3,13,3
AITK-2204727-520,3323,185,200.0,8103.0,83.8,18.9,54.7,26.4,14,4
AITK-2204727-520,3324,235,250.0,6912.0,84.7,26.5,54.2,19.3,15,5
AITK-2204809-64,3228,35,50.0,9310.0,86.4,8.0,65.3,26.7,16,1
AITK-2204809-64,3229,85,100.0,8978.0,86.7,11.8,62.8,25.4,17,2
AITK-2204809-64,3230,150,165.0,6435.0,80.8,36.3,44.7,19.0,18,3
AITK-2204910-65,3221,35,50.0,8106.0,86.0,17.5,57.2,25.3,19,1
AITK-2204910-65,3222,85,100.0,8184.0,80.7,18.8,57.4,23.8,20,2
AITK-2204910-65,3223,135,150.0,8555.0,84.1,16.5,58.6,24.9,21,3
AITK-2204910-65,3224,185,200.0,7761.0,86.2,22.6,55.8,21.6,22,4
