DNR Peat Inventory ID #,Depthnum,Top Depth (cm),Bottom Depth (cm),Degree of Decomposition,Botanical Origin,Classification,Uniq_id
AITK-2204305-488,1,,30.0,H8,,Sapric,1
AITK-2204305-488,2,55.0,,B,,vfsl,2
AITK-2204336-506,1,,30.0,H5,RS/WF,Hemic,3
AITK-2204336-506,2,,60.0,H5,RS/WF,Hemic,4
AITK-2204336-506,3,,90.0,H4,RS/WF,Hemic,5
AITK-2204336-506,4,,120.0,H4,RS/WF,Hemic,6
AITK-2204336-506,5,,150.0,H5,RS,Hemic,7
AITK-2204336-506,6,,180.0,H4,RS,Hemic,8
AITK-2204336-506,7,,210.0,H4,RS,Hemic,9
AITK-2204336-506,8,,245.0,H5,RS,Hemic,10
AITK-2204336-506,9,275.0,,B,,fs,11
AITK-2204403-483,1,,30.0,H5,M/WF,Hemic,12
AITK-2204403-483,2,,60.0,H4,M,Hemic,13
AITK-2204403-483,3,,90.0,H5,,Hemic,14
AITK-2204403-483,4,0.0,20.0,,M,,15
AITK-2204403-483,5,105.0,,B,,fsl,16
AITK-2204409-482,1,,60.0,H8,,Sapric,17
AITK-2204409-482,2,,90.0,H5,RS,Hemic,18
AITK-2204409-482,3,,120.0,H5,,Hemic,19
AITK-2204409-482,4,,150.0,H5,,Hemic,20
AITK-2204409-482,5,,180.0,H5,,Hemic,21
AITK-2204409-482,6,,210.0,H6,,Hemic,22
AITK-2204409-482,7,,240.0,H8,,Sapric,23
AITK-2204409-482,8,,270.0,H6,,Hemic,24
AITK-2204409-482,9,0.0,45.0,H2,M,Fibric,25
AITK-2204409-482,10,300.0,370.0,B,,Limnic,26
AITK-2204409-482,11,370.0,,,,Limnic w/Min.soil,27
AITK-2204410-484,1,,30.0,H2,M,Fibric,28
AITK-2204410-484,2,,60.0,H5,RS,Hemic,29
AITK-2204410-484,3,,90.0,H6,,Hemic,30
AITK-2204410-484,4,,120.0,H5,,Hemic,31
AITK-2204410-484,5,135.0,,B,,fs,32
AITK-2204411-485,1,,30.0,H5,RS,Hemic,33
AITK-2204411-485,2,,60.0,H6,RS,Hemic,34
AITK-2204411-485,3,,90.0,H7,RS,Sapric,35
AITK-2204411-485,4,,120.0,H4,RS,Hemic,36
AITK-2204411-485,5,,150.0,H5,M/RS,Hemic,37
AITK-2204411-485,6,175.0,,B,,Min.soil,38
AITK-2204417-491,1,,30.0,H4,RS,Hemic,39
AITK-2204417-491,2,,60.0,H4,WF,Hemic,40
AITK-2204417-491,3,,90.0,H4,WF,Hemic,41
AITK-2204417-491,4,,120.0,H5,RS,Hemic,42
AITK-2204417-491,5,,150.0,H8,,Sapric,43
AITK-2204417-491,6,,180.0,H10,,Sapric,44
AITK-2204417-491,7,185.0,,B,,Min.soil,45
AITK-2204420-490,1,,30.0,H4,RS,Hemic,46
AITK-2204420-490,2,,60.0,H5,RS,Hemic,47
AITK-2204420-490,3,,90.0,H5,RS/WF,Hemic,48
AITK-2204420-490,4,,120.0,H5,RS,Hemic,49
AITK-2204420-490,5,150.0,,B,,scl,50
AITK-2204421-486,1,,30.0,H5,RS,Hemic,51
AITK-2204421-486,2,,60.0,H4,,Hemic,52
AITK-2204421-486,3,,90.0,H6,WF/RS,Hemic,53
AITK-2204421-486,4,,120.0,H5,WF/RS,Hemic,54
AITK-2204421-486,5,,150.0,H5,RS,Hemic,55
AITK-2204421-486,6,,180.0,H5,RS,Hemic,56
AITK-2204421-486,7,,210.0,H5,RS,Hemic,57
AITK-2204421-486,8,,240.0,H6,,Hemic,58
AITK-2204421-486,9,,270.0,H6,,Hemic,59
AITK-2204421-486,10,,300.0,H5,WF/RS,Hemic,60
AITK-2204421-486,11,330.0,390.0,B,,Limnic,61
AITK-2204421-486,12,390.0,,,,vfsl,62
AITK-2204429-489,1,,30.0,H4,RS/WF,Hemic,63
AITK-2204429-489,2,,60.0,H4,RS/WF,Hemic,64
AITK-2204429-489,3,,90.0,H5,RS,Hemic,65
AITK-2204429-489,4,,120.0,H5,RS,Hemic,66
AITK-2204429-489,5,,150.0,H5,RS,Hemic,67
AITK-2204429-489,6,165.0,,B,,sil,68
AITK-2204433-487,1,0.0,10.0,H8,,Sapric,69
AITK-2204433-487,2,10.0,20.0,B,,Min.soil w/peat,70
AITK-2204433-487,3,20.0,,,,sil,71
AITK-2204502-90,1,0.0,90.0,H9,,Sapric,72
AITK-2204502-90,2,90.0,,B,,sic over ms,73
AITK-2204511-87,1,0.0,180.0,H5,RS,Hemic,74
AITK-2204511-87,2,180.0,240.0,H4,RS,Hemic,75
AITK-2204511-87,3,240.0,300.0,H6,RS,Hemic,76
AITK-2204511-87,4,300.0,420.0,B,,Limnic,77
AITK-2204511-87,5,420.0,,,,l w/pebbles,78
AITK-2204511-88,1,0.0,150.0,H4,RS,Hemic,79
AITK-2204511-88,2,150.0,240.0,H5,RS,Hemic,80
AITK-2204511-88,3,240.0,365.0,H9,,Sapric w/Limnic?,81
AITK-2204511-88,4,365.0,425.0,H7,,Sapric,82
AITK-2204511-88,5,425.0,485.0,H9,,Sapric,83
AITK-2204511-88,6,485.0,,B,,s and g,84
AITK-2204511-89,1,0.0,120.0,H4,RS,Hemic,85
AITK-2204511-89,2,120.0,180.0,H5,RS,Hemic,86
AITK-2204511-89,3,180.0,285.0,H6,RS,Hemic,87
AITK-2204511-89,4,285.0,,B,,sil w/pebbles,88
AITK-2204518-475,1,,30.0,H6,,Hemic,89
AITK-2204518-475,2,,60.0,H6,,Hemic,90
AITK-2204518-475,3,,90.0,H5,,Hemic,91
AITK-2204518-475,4,,120.0,H5,,Hemic,92
AITK-2204518-475,5,,150.0,H5,,Hemic,93
AITK-2204518-475,6,,180.0,H5,RS,Hemic,94
AITK-2204518-475,7,210.0,,B,,si,95
AITK-2204520-468,1,0.0,90.0,H4,RS,Hemic,96
AITK-2204520-468,2,90.0,120.0,H3,RS,Fibric,97
AITK-2204520-468,3,120.0,180.0,H4,RS,Hemic,98
AITK-2204520-468,4,180.0,240.0,H5,RS,Hemic,99
AITK-2204520-468,5,240.0,330.0,H6,RS,Hemic,100
