DNR Peat Inventory ID #,Profile Description Info,Peat Moisture Info,IRRB Report Name,Profile Described By,Desc_who,Desc_when,DNR Lab Data Available,Prox-Ulti Data Available
AITK-2204305-488,,,,"D. Olson and S. Nelson on July 1, 1980",D. Olson and S. Nelson,"July 1, 1980",N,N
AITK-2204336-506,Laboratory samples collected near this site at a later date,,,"H. Hobbs and D. Olson on July 2, 1980",H. Hobbs and D. Olson,"July 2, 1980",Y,Y
AITK-2204403-483,,,,"S. Nelson and D. Olson on July 1, 1980",S. Nelson and D. Olson,"July 1, 1980",N,N
AITK-2204409-482,,,,"D. Olson and S. Nelson on July 1, 1980",D. Olson and S. Nelson,"July 1, 1980",N,N
AITK-2204410-484,,,,"D. Olson and S. Nelson on July 1, 1980",D. Olson and S. Nelson,"July 1, 1980",N,N
AITK-2204411-485,,,,"S. Nelson and D. Olson on July 1, 1980",S. Nelson and D. Olson,"July 1, 1980",N,N
AITK-2204417-491,,,,"S. Nelson and D. Olson on July 1, 1980",S. Nelson and D. Olson,"July 1, 1980",N,N
AITK-2204420-490,Site approximately 75 yards from mineral island,,,"D. Olson and S. Nelson on July 1, 1980",D. Olson and S. Nelson,"July 1, 1980",N,N
AITK-2204421-486,,,,"D. Olson and S. Nelson on July 1, 1980",D. Olson and S. Nelson,"July 1, 1980",N,N
AITK-2204429-489,,,,"S. Nelson and D. Olson on July 1, 1980",S. Nelson and D. Olson,"July 1, 1980",N,N
AITK-2204433-487,,,,"S. Nelson and D. Olson on July 1, 1980",S. Nelson and D. Olson,"July 1, 1980",N,N
AITK-2204502-90,,,,"H. Hobbs and T. Deering on April 24, 1980",H. Hobbs and T. Deering,"April 24, 1980",N,N
AITK-2204511-87,,,,"H. Hobbs and T. Deering on April 24, 1980",H. Hobbs and T. Deering,"April 24, 1980",N,N
AITK-2204511-88,,,,"H. Hobbs and T. Deering on April 24, 1980",H. Hobbs and T. Deering,"April 24, 1980",N,N
AITK-2204511-89,,,,"H. Hobbs and T. Deering on April 24, 1980",H. Hobbs and T. Deering,"April 24, 1980",N,N
AITK-2204518-475,,,,"H. Hobbs and G. Gibanski on July 1, 1980",H. Hobbs and G. Gibanski,"July 1, 1980",N,N
AITK-2204520-468,,,,"H. Hobbs and G. Gibanski on July 1, 1980",H. Hobbs and G. Gibanski,"July 1, 1980",N,N
AITK-2204520-471,,,,"H. Hobbs and G. Gibanski on July 1, 1980",H. Hobbs and G. Gibanski,"July 1, 1980",N,N
AITK-2204521-469,,,,"H. Hobbs and G. Gibanski on July 1, 1980",H. Hobbs and G. Gibanski,"July 1, 1980",N,N
