DNR Peat Inventory ID #,Peatland Name,Additional Site Info,Landform Pattern,Peatland Classification,Site Vegetation,Surface Microrelief,Depth to Water Table,Measured Elevation
AITK-2204305-488,,,,Meadow,Cover dominated by grasses; some shrubs (willow).  Few forbs.,10cm,10cm above surface,
AITK-2204336-506,,,,Shrub swamp,"Cover dominated by grasses and shrubs (speckled alder*, willow, dogwood); few ericaceous shrubs and forbs.",Negligible,At surface,
AITK-2204403-483,,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes some ericaceous shrubs (Labrador tea*) and cotton grass.  Continuous sphagnum carpet.,60cm,10cm,
AITK-2204409-482,,,,Transition,Scattered black spruce.  Understory includes many forbs (false Solomon's seal); some ericaceous shrubs (leatherleaf*) and grasses. Continuous sphagnum carpet.,45cm,At surface,
AITK-2204410-484,,,,,"Stunted black spruce and tamarack with 35% cover each.  Understory includes many forbs (horsetail*, false Solomon's seal) and grasses; few ericaceous shrubs and other shrubs (bog birch).  Continuous sphagnum carpet; few other mosses.",30cm,At surface,
AITK-2204411-485,,,,Poor shrub fen,Sparse black spruce and tamarack.  Understory dominated by ericaceous shrubs (Labrador tea); many other shrubs (bog birch); some grasses; few wooded bog forbs.  Continuous sphagnum carpet.,30cm,At surface,
AITK-2204417-491,,,,Shrub meadow,"Cover dominated by shrubs (bog birch*, speckled alder) and grasses; few ericaceous shrubs and forbs.",15cm,At surface,
AITK-2204420-490,,,,Transition,"Black spruce forest with 60% cover.  Understory dominated by ericaceous shrubs (Labrador tea*, leatherleaf*); many forbs (false Solomon's seal); some grasses; few shrubs (bog birch) and cotton grass.  Continuous sphagnum carpet.",30cm,5cm,
AITK-2204421-486,,,,Forested bag,"Stunted black spruce with 60% cover; scattered tamarack.  Understory dominated by ericaceous shrubs (Labrador tea*, leatherleaf*); some cotton grass and forbs (false Solomon's seal).  Continuous sphagnum carpet.",30cm,30cm,
AITK-2204429-489,,,,Poor shrub fen,Scattered tamarack; sparse black spruce.  Understory dominated by cotton grass; many shrubs (bog birch); some ericaceous shrubs (leatherleaf*); few wooded bog forbs. Continuous sphagnum carpet.,25cm,5cm,
AITK-2204433-487,,,,Meadow,Cover dominated by grasses.,,Not visible,
AITK-2204502-90,,,,Transition,Tamarack with 35% cover; scattered black spruce.  Understory dominated by ericaceous shrubs (Labrador tea*).  Continuous sphagnum carpet.,20cm,Just below surface,
AITK-2204511-87,,,,Shrub swamp,"Cover dominated by grasses; many shrubs (speckled alder*, willow, dogwood); some forbs.",20cm,At surface,
AITK-2204511-88,,,,Shrub swamp,"Cover dominated by shrubs (speckled alder, willow); many grasses; few ericaceous shrubs and bog forbs.  Some sphagnum mosses; few other mosses.",15cm,At surface,
AITK-2204511-89,,,,Shrub swamp,"Cover dominated by shrubs (speckled alder*, willow*, dogwood); many ericaceous shrubs (leatherleaf*); few forbs.  Some sphagnum mosses.",15cm,Just below surface,
AITK-2204518-475,,,,Meadow,Cover dominated by grasses; few shrubs (willow) and forbs.,10cm,Below surface,
AITK-2204520-468,,,,Open bog,Sparse black spruce and tamarack.  Understory includes many cotton grasses and ericaceous shrubs.  Continuous sphagnum carpet; some polytrichum mosses.,40cm,Just below surface,
AITK-2204520-471,,,,Disturbed - near ditch,"Sparse tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*); many other shrubs (bog birch*, willow); few forbs. Discontinuous sphagnum and other moss carpet.",30cm,Just below surface,
AITK-2204521-469,,,,Open bog,Sparse tamarack and black spruce.  Understory dominated by ericaceous shrubs (leatherleaf*); some cotton grass; few bog forbs.  Continuous sphagnum carpet; some polytrichum mosses.,40cm,10cm,
AITK-2204523-86,,,,Shrub swamp,"Sparse tamarack, paper birch, and elm.  Understory dominated by shrubs (speckled alder); few ericaceous shrubs and forbs.  Some mosses.",20cm,At surface,
AITK-2204524-470,,,,Disturbed - near railroad grade,"Scattered aspen; sparse tamarack, paper birch, black spruce, black ash, and maple.  Understory dominated by grasses; few shrubs (willow), ericaceous shrubs, and forbs.  Discontinuous sphagnum carpet.",20cm,At surface,
