DNR Peat Inventory ID #,D_Sample #,D_Sampnum,D_Sampnsub,D_Top Depth (cm),D_Bottom Depth (cm),D_Bulk Density (g/cc),D_Moisture Content (%),D_PH H2O,D_PH CaCl2,D_Ash Content (%),D_Uniq_id,D_Depthnum
AITK-2204336-506,3343,3343,,35.0,50.0,0.14,86.5,6.0,5.1,18.1,1,1
AITK-2204336-506,3344,3344,,85.0,100.0,0.12,88.4,5.9,5.0,11.8,2,2
AITK-2204336-506,3345,3345,,135.0,150.0,0.13,88.2,6.1,5.1,9.9,3,3
AITK-2204336-506,3346,3346,,185.0,200.0,0.17,84.3,6.3,5.4,31.7,4,4
AITK-2204336-506,3347,3347,,235.0,250.0,0.17,84.9,6.2,5.4,32.3,5,5
AITK-2204524-470,3269,3269,,35.0,50.0,0.16,84.6,5.6,4.7,14.1,6,1
AITK-2204524-470,3270,3270,,85.0,100.0,0.13,88.1,5.8,4.8,8.3,7,2
AITK-2204524-470,3271,3271,,135.0,150.0,0.11,89.2,5.9,4.9,8.2,8,3
AITK-2204524-470,3272,3272,,185.0,200.0,0.15,86.5,5.6,4.9,19.3,9,4
AITK-2204524-470,3273,3273,,215.0,230.0,0.24,79.5,5.8,5.0,55.6,10,5
AITK-2204701-210,3519,3519,,,,0.1,89.6,3.7,3.0,3.9,11,1
AITK-2204701-210,3520,3520,,,,0.12,88.0,4.1,3.2,4.7,12,2
AITK-2204701-210,3521,3521,,,,0.12,88.8,3.9,3.1,5.9,13,3
AITK-2204727-520,3320,3320,,35.0,50.0,0.19,81.9,6.0,5.4,18.8,14,1
AITK-2204727-520,3321,3321,,85.0,100.0,0.17,84.2,6.0,5.4,12.7,15,2
AITK-2204727-520,3322,3322,,135.0,150.0,0.2,82.8,6.2,5.6,23.3,16,3
AITK-2204727-520,3323,3323,,185.0,200.0,0.17,83.8,6.2,5.7,19.9,17,4
AITK-2204727-520,3324,3324,,235.0,250.0,0.15,85.5,5.4,5.0,22.0,18,5
AITK-2204809-64,3228,3228,,35.0,50.0,0.13,87.1,4.0,3.3,9.7,19,1
AITK-2204809-64,3229,3229,,85.0,100.0,0.14,85.9,4.7,3.6,12.4,20,2
AITK-2204809-64,3230,3230,,150.0,165.0,0.18,83.1,5.0,4.1,24.7,21,3
AITK-2204910-65,3221,3221,,35.0,50.0,0.13,86.9,5.6,4.8,15.6,22,1
AITK-2204910-65,3222,3222,,85.0,100.0,0.21,79.7,6.0,5.2,19.1,23,2
AITK-2204910-65,3223,3223,,135.0,150.0,0.18,83.1,5.9,5.3,15.8,24,3
AITK-2204910-65,3224,3224,,185.0,200.0,0.15,85.5,5.1,4.9,26.1,25,4
AITK-2204910-65,3225,3225,,235.0,250.0,0.16,85.6,5.9,5.4,31.7,26,5
AITK-2205013-141,3183,3183,,35.0,50.0,0.13,87.6,5.3,4.6,8.7,27,1
AITK-2205013-141,3184,3184,,85.0,100.0,0.11,88.5,5.7,4.8,8.2,28,2
AITK-2205013-141,3185,3185,,135.0,150.0,0.12,88.9,6.0,5.0,9.7,29,3
AITK-2205013-141,3186,3186,,200.0,215.0,0.22,81.1,6.1,5.2,43.5,30,4
AITK-2205105-158,3179,3179,,35.0,50.0,0.1,88.6,5.0,4.0,7.2,31,1
AITK-2205105-158,3180,3180,,85.0,100.0,0.12,88.7,5.2,4.1,10.1,32,2
AITK-2205105-158,3181,3181,,135.0,150.0,0.13,88.0,5.7,4.6,13.3,33,3
AITK-2205110-1,1335,1335,,35.0,50.0,0.19,82.0,6.2,5.7,13.5,34,1
AITK-2205110-1,1336,1336,,85.0,100.0,0.2,79.6,6.3,5.8,16.8,35,2
AITK-2205112-2,1338,1338,,35.0,50.0,0.1,90.2,5.6,4.9,13.8,36,1
AITK-2205112-2,1339,1339,,84.0,99.0,0.13,90.7,5.8,5.1,16.1,37,2
AITK-2205112-2,1340,1340,,135.0,150.0,0.12,88.8,5.8,5.1,14.8,38,3
AITK-2205112-2,1341,1341,,184.0,199.0,0.09,90.1,5.9,5.2,16.3,39,4
AITK-2205112-2,1342,1342,,235.0,250.0,0.14,87.2,6.1,5.5,23.1,40,5
AITK-2205112-2,1343,1343,,284.0,299.0,0.22,78.9,6.3,5.7,14.5,41,6
AITK-2205133-134,3204,3204,,35.0,50.0,0.09,90.4,5.4,4.5,8.1,42,1
AITK-2205133-134,3205,3205,,85.0,100.0,0.1,90.3,6.0,5.0,8.6,43,2
AITK-2205133-134,3206,3206,,135.0,150.0,0.09,91.7,6.0,5.0,10.3,44,3
AITK-2205133-134,3207,3207,,185.0,200.0,0.13,87.2,6.1,5.2,17.6,45,4
AITK-2205201-256,1867,1867,,35.0,50.0,0.1,90.2,5.6,4.9,5.5,46,1
AITK-2205201-256,1868,1868,,85.0,100.0,0.08,92.0,5.7,5.2,6.8,47,2
AITK-2205201-256,1869,1869,,135.0,150.0,0.09,90.4,6.0,5.3,8.0,48,3
AITK-2205201-256,1870,1870,,185.0,200.0,0.13,86.8,6.1,5.5,12.7,49,4
AITK-2205201-256,1871,1871,,235.0,250.0,0.16,86.1,6.1,5.4,9.2,50,5
AITK-2205201-256,1872,1872,,285.0,300.0,0.17,83.0,6.0,5.4,13.0,51,6
AITK-2205201-256,1873,1873,,315.0,330.0,0.19,82.6,5.9,5.4,13.7,52,7
AITK-2205201-257,1875,1875,,35.0,50.0,0.1,90.6,6.0,3.8,7.8,53,1
AITK-2205201-257,1876,1876,,85.0,100.0,0.08,91.2,6.0,4.4,5.3,54,2
AITK-2205201-257,1877,1877,,135.0,150.0,0.08,91.0,6.1,4.6,5.4,55,3
AITK-2205201-257,1878,1878,,185.0,200.0,0.09,89.2,6.2,5.0,7.5,56,4
AITK-2205201-257,1879,1879,,235.0,250.0,0.14,87.4,6.0,3.8,15.4,57,5
