DNR Peat Inventory ID #,U_Sampnum,U_Top Depth (cm),U_Bottom Depth (cm),U_Total Carbon (%),U_Hydrogen (%),U_Nitrogen (%),U_Sulfur (%),U_Oxygen (%),U_Uniq_id,U_Depthnum
AITK-2204336-506,3343,35,50.0,49.8,4.7,2.2,0.3,28.0,1,1
AITK-2204336-506,3344,85,100.0,51.4,5.2,2.6,0.3,28.2,2,2
AITK-2204336-506,3345,135,150.0,52.8,5.3,3.1,0.3,28.5,3,3
AITK-2204336-506,3346,185,200.0,42.8,4.4,2.8,0.3,23.1,4,4
AITK-2204336-506,3347,235,250.0,36.9,3.8,2.3,0.4,18.9,5,5
AITK-2204524-470,3269,35,50.0,51.6,4.9,2.3,0.3,29.5,6,1
AITK-2204524-470,3270,85,100.0,51.7,4.9,2.6,0.3,28.6,7,2
AITK-2204524-470,3271,135,150.0,54.6,5.3,2.9,0.3,30.1,8,3
AITK-2204524-470,3272,185,200.0,50.1,4.9,2.7,0.3,27.5,9,4
AITK-2204524-470,3273,215,230.0,31.7,3.2,1.9,0.3,16.2,10,5
AITK-2204727-520,3320,35,50.0,47.0,4.4,2.3,0.5,25.0,11,1
AITK-2204727-520,3321,85,100.0,51.8,4.8,2.9,0.8,27.2,12,2
AITK-2204727-520,3322,135,150.0,42.0,4.1,2.6,0.8,22.6,13,3
AITK-2204727-520,3323,185,200.0,48.2,4.4,1.9,1.2,25.5,14,4
AITK-2204727-520,3324,235,250.0,41.0,4.2,1.8,2.6,23.9,15,5
AITK-2204809-64,3228,35,50.0,54.0,5.2,2.0,0.3,30.5,16,1
AITK-2204809-64,3229,85,100.0,51.7,5.2,2.3,0.3,28.7,17,2
AITK-2204809-64,3230,150,165.0,37.2,3.6,2.3,0.3,20.3,18,3
AITK-2204910-65,3221,35,50.0,48.1,4.5,1.7,0.4,27.7,19,1
AITK-2204910-65,3222,85,100.0,47.7,4.5,2.8,0.6,25.5,20,2
AITK-2204910-65,3223,135,150.0,50.1,4.6,2.8,1.4,24.6,21,3
AITK-2204910-65,3224,185,200.0,45.1,4.5,2.4,1.5,23.9,22,4
AITK-2204910-65,3225,235,250.0,43.4,4.9,3.3,0.9,21.6,23,5
AITK-2205013-141,3183,35,50.0,54.0,5.5,2.3,0.3,31.4,24,1
AITK-2205013-141,3184,85,100.0,53.0,5.2,2.4,0.2,31.3,25,2
AITK-2205013-141,3185,135,150.0,51.9,5.0,2.6,0.3,30.7,26,3
AITK-2205013-141,3186,200,215.0,39.9,3.9,2.2,0.2,21.9,27,4
AITK-2205105-158,3179,35,50.0,55.2,5.7,2.4,0.2,31.3,28,1
AITK-2205105-158,3180,85,100.0,54.5,5.3,2.3,0.2,30.8,29,2
AITK-2205105-158,3181,135,150.0,54.7,5.5,2.1,0.2,31.8,30,3
AITK-2205112-2,1338,35,50.0,,,,,,31,1
AITK-2205112-2,1339,84,99.0,,,,0.11,,32,2
AITK-2205112-2,1340,135,150.0,,,,,,33,3
AITK-2205112-2,1341,184,199.0,,,,0.11,,34,4
AITK-2205112-2,1342,235,250.0,,,,,,35,5
AITK-2205133-134,3204,35,50.0,52.8,5.4,3.0,0.2,31.6,36,1
AITK-2205133-134,3205,85,100.0,51.8,5.2,2.8,0.2,32.0,37,2
AITK-2205133-134,3206,135,150.0,51.0,5.1,2.7,0.2,32.5,38,3
AITK-2205133-134,3207,185,200.0,50.7,5.0,2.7,0.3,28.9,39,4
AITK-2205203-2,3094,35,50.0,50.6,5.8,1.4,0.2,36.6,40,1
AITK-2205203-2,3095,85,100.0,52.4,5.6,1.2,0.2,36.6,41,2
AITK-2205203-2,3096,135,150.0,52.5,6.0,1.9,0.2,34.2,42,3
AITK-2205203-2,3097,185,200.0,54.1,5.6,2.5,0.2,31.0,43,4
AITK-2205203-2,3098,235,250.0,52.5,5.3,2.5,0.2,32.0,44,5
AITK-2205203-2,3099,285,300.0,52.6,5.1,2.9,0.3,30.6,45,6
AITK-2205203-2,3100,335,350.0,46.0,4.9,3.0,0.4,24.6,46,7
