DNR Peat Inventory ID #,Lease Information,Land Exchange/Sale,Surface Ownership
AITK-2404824-554,,Kosbau Brothers land exchange request No. 532,Private property
AITK-2404824-555,,Kosbau Brothers land exchange request No. 532,Private property
AITK-2404824-556,,Kosbau Brothers land exchange request No. 532,Private property
AITK-2405010-606,,Land exchange proposal,Private property
AITK-2405020-609,,Land exchange proposal,Private property
AITK-2405021-5,,Land exchange proposal,Private property
AITK-2405021-608,,Land exchange proposal,Private property
AITK-2405021-7,,Land exchange proposal,Private Property
AITK-2405032-276,,Land exchange proposal,Private property
AITK-2604804-557,Custom Drying lease request,,
AITK-2604804-558,Custom Drying lease request,,
AITK-2604804-559,Custom Drying lease request,,
AITK-2604808-550,"Kosbau Brothers, Inc.",Kosbau Brothers exchange request No. 532 - 1/31/88,State-owned
AITK-2604808-551,"Kosbau Brothers, Inc.",Kosbau Brothers exchange request No. 532 - 1/31/88,State-owned
AITK-2604808-552,"Kosbau Brothers, Inc.",Kosbau Brothers exchange request No. 532 - 1/31/88,State-owned
AITK-2604808-553,"Kosbau Brothers, Inc.",Kosbau Brothers exchange request No. 532 - 1/31/88,State-owned
CARL-1904803-3,Michigan Peat Company,,
CARL-1904803-4,Michigan Peat Company,,
CARL-1904803-5,Michigan Peat Company,,
CARL-1904804-1,Michigan Peat Company,,
CARL-1904804-2,Michigan Peat Company,,
CARL-1904804-381,Michigan Peat Company,,
CARL-1904804-382,Michigan Peat Company,,
CARL-1904804-6,Michigan Peat Company,,
CARL-1904804-643,Michigan Peat Company,,
CARL-1904804-7,Michigan Peat Company,,
CARL-1904804-8,Michigan Peat Company,,
CARL-1904805-14,Michigan Peat Company,,
CARL-1904808-10,Michigan Peat Company,,
CARL-1904808-11,Michigan Peat Company,,
CARL-1904808-9,Michigan Peat Company,,
CARL-1904809-12,Michigan Peat Company,,
CARL-1904809-13,Michigan Peat Company,,
CARL-2004918-A500-80,"Peatrex, Ltd.",,
CARL-2004918-A900-80,"Peatrex, Ltd.",,
CARL-2004919-282,"Peatrex, Ltd.",,
CARL-2004919-301,"Peatrex, Ltd.",,
CARL-2004919-303,"Peatrex, Ltd.",,
CARL-2004919-A1100+-0,"Peatrex, Ltd.",,
CARL-2004919-A1100+10,"Peatrex, Ltd.",,
CARL-2004919-A1100-20,"Peatrex, Ltd.",,
CARL-2004919-A1100-40,"Peatrex, Ltd.",,
CARL-2004919-A1100-60,"Peatrex, Ltd.",,
CARL-2004919-A500+-0,"Peatrex, Ltd.",,
CARL-2004919-A500+10,"Peatrex, Ltd.",,
CARL-2004919-A500-20,"Peatrex, Ltd.",,
CARL-2004919-A500-40,"Peatrex, Ltd.",,
CARL-2004919-A500-60,"Peatrex, Ltd.",,
CARL-2004919-A700+-0,"Peatrex, Ltd.",,
CARL-2004919-A700+10,"Peatrex, Ltd.",,
CARL-2004919-A700-20,"Peatrex, Ltd.",,
CARL-2004919-A700-40,"Peatrex, Ltd.",,
CARL-2004919-A700-50,"Peatrex, Ltd.",,
CARL-2004919-A700-55,"Peatrex, Ltd.",,
CARL-2004919-A900+-0,"Peatrex, Ltd.",,
CARL-2004919-A900+10,"Peatrex, Ltd.",,
CARL-2004919-A900-20,"Peatrex, Ltd.",,
CARL-2004919-A900-40,"Peatrex, Ltd.",,
CARL-2004919-A900-60,"Peatrex, Ltd.",,
CARL-2004919-C0+-0,"Peatrex, Ltd.",,
CARL-2004919-C0-100,"Peatrex, Ltd.",,
CARL-2004919-C100+-0,"Peatrex, Ltd.",,
CARL-2004919-C100-100,"Peatrex, Ltd.",,
CARL-2004919-C200+-0,"Peatrex, Ltd.",,
CARL-2004919-C200-100,"Peatrex, Ltd.",,
CARL-2004919-C300+-0,"Peatrex, Ltd.",,
CARL-2004919-C300-100,"Peatrex, Ltd.",,
CARL-2004919-C400+-0,"Peatrex, Ltd.",,
CARL-2004919-C400-100,"Peatrex, Ltd.",,
CARL-2104924-280,"Peatrex, Ltd.",,
CARL-2104924-281,"Peatrex, Ltd.",,
CARL-2104924-300,"Peatrex, Ltd.",,
CARL-2104924-305,"Peatrex, Ltd.",,
CARL-2104924-A0+-0,"Peatrex, Ltd.",,
CARL-2104924-A0+10,"Peatrex, Ltd.",,
CARL-2104924-A0-20,"Peatrex, Ltd.",,
CARL-2104924-A0-40,"Peatrex, Ltd.",,
CARL-2104924-A0-50,"Peatrex, Ltd.",,
CARL-2104924-A100+-0,"Peatrex, Ltd.",,
CARL-2104924-A100+10,"Peatrex, Ltd.",,
CARL-2104924-A100-20,"Peatrex, Ltd.",,
CARL-2104924-A100-40,"Peatrex, Ltd.",,
CARL-2104924-A100-60,"Peatrex, Ltd.",,
CARL-2104924-A100-70,"Peatrex, Ltd.",,
CARL-2104924-A300+-0,"Peatrex, Ltd.",,
CARL-2104924-A300+10,"Peatrex, Ltd.",,
CARL-2104924-A300-10,"Peatrex, Ltd.",,
CARL-2104924-A300-20,"Peatrex, Ltd.",,
CARL-2104924-A300-30,"Peatrex, Ltd.",,
CARL-2104924-A300-40,"Peatrex, Ltd.",,
CARL-2104924-A300-50,"Peatrex, Ltd.",,
CARL-2104924-A300-60,"Peatrex, Ltd.",,
CARL-2104924-A300-70,"Peatrex, Ltd.",,
CARL-2104924-B-100+-0,"Peatrex, Ltd.",,
CARL-2104924-B-200+-0,"Peatrex, Ltd.",,
CARL-2104924-B-300+-0,"Peatrex, Ltd.",,
CARL-2104924-B-400+-0,"Peatrex, Ltd.",,
CLEA-3815025-15,,County Land Sale Request,Private property
CROW-2904629-8,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-10,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-11,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-2,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-3,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-4,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-5,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-6,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-7,"Lease Request - Cuyuna Range Development, Inc.",,
CROW-2904630-9,"Lease Request - Cuyuna Range Development, Inc.",,
