party_id,party_iid,type,given_name,middle_name,surname,org_name,email,orcid,organization,notes
71914630-f766-40a4-b4e0-27ed7ff2620c,mn-dnr,organization,nap,nap,nap,Minnesota Department of Natural Resources (DNR),unk,nap,nap,"Referred to throughout source material only as 'DNR'; full name expansion is a reasonable inference supported by parallel attributions elsewhere on the same Minnesota Geospatial Commons site ('Minnesota DNR - Lands and Minerals'), not spelled out verbatim on the captured landing page itself. The Commons 'Publisher' field separately lists 'State of Minnesota', not DNR specifically."
a32eea4f-6c9c-45df-b17a-85f0c6a82416,us-doe,organization,nap,nap,nap,U.S. Department of Energy,unk,nap,nap,"Named as funder: 'With the U.S. Department of Energy funding beginning in 1979, the DNR accelerated and expanded peat investigations.' TablesInPeat.csv also names a 'DOE Coal Analysis Laboratory' performing Labprox/Labulti analyses - possibly a distinct sub-unit; recorded here under this same party pending confirmation (see REVIEW-QUESTIONS.txt)."
60a1cead-57e3-4af3-9d9e-39fd50e63c28,tj-malterer,person,T. J.,nap,Malterer,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Report co-author (title page) and named in acknowledgements as 'Tom Malterer, former Peat Inventory Project Leader, MDNR.' Also named individually as field describer/sampler at multiple Appendix D sites (e.g. #128, #132, #142). Only given-name initials available from source. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
e831a927-481f-4aa2-b138-c611fcdcb38c,hd-mooers,person,H. D.,nap,Mooers,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Report co-author (title page: 'H. D. Mooers'). Named individually as field describer/sampler at numerous Appendix D sites, 1980 (e.g. #127, #133-135, #142-152). Only given-name initials available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
3e846581-143c-4a41-9365-cf49f3139b0c,ls-severson,person,L. S.,nap,Severson,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Report co-author (title page: 'L. S. Severson'). Named individually as field describer/sampler at Appendix D sites (e.g. #128, #130-132, #157-160). Only given-name initials available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
720cbe76-21eb-4529-9810-d42fc624e2e3,dj-olson,person,D. J.,nap,Olson,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Named on the report title page under 'Technical Assistance.' Also the most frequently recurring field describer/sampler in Appendix D across 1976-1980 (e.g. #4, #10, #21-24, #29). Possibly the same 'D. Olson' named as a field describer (Desc_who) in Profinfo.csv for this dataset, though not formally cross-matched in this pass. Only given-name initials available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
0ba517e8-44ba-43a2-91e2-04a29d2df651,dr-mellem,person,D. R.,nap,Mellem,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Named on the report title page under 'Technical Assistance.' Frequent field describer/sampler in Appendix D, 1977-1978 (e.g. #1-3, #166-172). Only given-name initials available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
f8134fd9-1bfd-45fb-9be1-e597da0c03b2,sl-nelson,person,S. L.,nap,Nelson,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Named on the report title page under 'Technical Assistance.' Field describer/sampler at several Appendix D sites, 1980 (e.g. #128-131). Only given-name initials available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
d9fd658d-659e-4fdc-a49b-932794b1fc8f,rl-johnson,person,R. L.,nap,Johnson,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Named on the report title page under 'Technical Assistance.' No individual field-description entries under this name were found in Appendix D of this report; credited solely on the title-page acknowledgement. Only given-name initials available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
1e2f48e8-420a-4801-991a-84527eb4b3fc,hm-koslucher,person,H. M.,nap,Koslucher,nap,unk,nap,"Minnesota Department of Natural Resources (DNR), Division of Minerals, Peat Inventory Project (MPIP) -- affiliation inferred from project context, not independently confirmed per individual.","Named on the report title page under 'Technical Assistance.' No individual field-description entries under this name were found in Appendix D of this report; credited solely on the title-page acknowledgement. Only given-name initials available. Source: raw/ancillary information/Inventory_of_peat_resources.pdf (Inventory of Peat Resources, Koochiching County, Minnesota; Severson, Mooers, and Malterer; MDNR Division of Minerals, 1980)"
