ds_iid,release_slug,party_iid,role_schema,role,role_degree,role_order,notes
mn-peat-inventory,,mn-dnr,credit,investigation,nap,nap,"'Crews collected notes on the peatland vegetation, determined the peat type throughout the profile, measured the peat depth, and collected samples' - MnGeo summary. Organization-level assignment. A follow-up pass (2026-09-15) resolved 18 individual field describers/samplers named in the Koochiching County county-level report (Inventory_of_peat_resources.pdf, raw/ancillary information/) to person-level parties -- see tj-malterer, hd-mooers, ls-severson, dj-olson, dr-mellem, sl-nelson, rl-johnson, hm-koslucher, d-haverkost, b-sether, j-dahl, b-leuelling, k-hayner, b-balen, r-wakanabo, m-domeier, r-fox, and r-zarth in registry--parties.csv/party-roles.csv, each scoped to Koochiching County fieldwork only. Individuals named only as initials in Profinfo.csv Desc_who for other counties (e.g. 'M. Oberhelman and A. Jagunich', 'R. Weber') remain unresolved to person-level parties -- see REVIEW-QUESTIONS.txt."
mn-peat-inventory,,mn-dnr,credit,resources,nap,nap,"'Results of DNR laboratory analysis (e.g., bulk density, pH, ash content)' - TablesInPeat.csv row for Labdnr."
mn-peat-inventory,,us-doe,credit,funding-acquisition,nap,nap,'With the U.S. Department of Energy funding beginning in 1979...' - MnGeo summary.
mn-peat-inventory,,us-doe,credit,resources,nap,nap,'DOE Coal Analysis Laboratory analysis' performed the Labprox/Labulti proximate and ultimate analyses - TablesInPeat.csv. See caveat in party notes about whether this lab is organizationally distinct from DOE proper.
mn-peat-inventory,,tj-malterer,credit,investigation,nap,nap,"Named field describer/sampler at multiple Appendix D sites (e.g. #128, #132, #142). Also credited on the source report's title page as co-author and in its acknowledgements as former Peat Inventory Project Leader; those report-authorship/leadership contributions are not credited here since the report itself is not part of this registration's source material -- only the fieldwork reflected in the underlying point data (Profinfo.csv/Siteinfo.csv/Locate.csv) is credited. Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,hd-mooers,credit,investigation,nap,nap,"Named field describer/sampler at numerous Appendix D sites, 1980 (e.g. #127, #133-135, #142-152). Also a co-author of the source report's title page; that authorship contribution is not credited here since the report itself is not part of this registration's source material -- only the fieldwork reflected in the underlying point data is credited. Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,ls-severson,credit,investigation,nap,nap,"Named field describer/sampler at Appendix D sites (e.g. #128, #130-132, #157-160). Also a co-author of the source report's title page; that authorship contribution is not credited here since the report itself is not part of this registration's source material -- only the fieldwork reflected in the underlying point data is credited. Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,dj-olson,credit,investigation,nap,nap,"Named under 'Technical Assistance' on the report title page and the most frequently recurring field describer/sampler in Appendix D, 1976-1980 (e.g. #4, #10, #21-24, #29). The title-page acknowledgement is administrative/report-level and adds nothing beyond the fieldwork already reflected here. Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,dr-mellem,credit,investigation,nap,nap,"Named under 'Technical Assistance' on the report title page and a frequent field describer/sampler in Appendix D, 1977-1978 (e.g. #1-3, #166-172). The title-page acknowledgement is administrative/report-level and adds nothing beyond the fieldwork already reflected here. Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
mn-peat-inventory,,sl-nelson,credit,investigation,nap,nap,"Named under 'Technical Assistance' on the report title page and field describer/sampler at several Appendix D sites, 1980 (e.g. #128-131). The title-page acknowledgement is administrative/report-level and adds nothing beyond the fieldwork already reflected here. Credited for field description and/or sampling of Koochiching County sites only, per Appendix D of the source report -- one of ~21 counties represented in Locate.csv; not resolved to specific rows in this pass."
